Symbol,Name,Data_Points,Start_Date,End_Date,First_Close,Last_Close,Total_Return_Pct,Avg_Daily_Volume,Avg_Dollar_Volume
SPY,SPDR S&P 500 ETF,1529,2020-01-02,2026-02-02,324.8699951171875,695.7100219726562,114.15028547702563,80101774.54349248,35427827657.19806
QQQ,Invesco QQQ Trust (NASDAQ-100),1529,2020-01-02,2026-02-02,216.16000366210938,627.3099975585938,190.20632259942673,49478939.445389144,18467674897.94584
IWM,iShares Russell 2000 ETF,1529,2020-01-02,2026-02-02,165.77999877929688,262.739990234375,58.48714692305017,31445498.009156313,6182310155.977778
DIA,SPDR Dow Jones Industrial Average ETF,1529,2020-01-02,2026-02-02,288.6199951171875,493.2799987792969,70.9098493259318,4189340.7809025506,1478428087.4514184
XLF,Financial Select Sector SPDR,1529,2020-01-02,2026-02-02,31.079999923706055,53.845001220703125,73.2464650993555,51269552.43296272,1862409172.223203
XLK,Technology Select Sector SPDR,1529,2020-01-02,2026-02-02,46.69499969482422,145.875,212.39961656144763,16867464.3969915,1342060459.0089595
XLE,Energy Select Sector SPDR,1529,2020-01-02,2026-02-02,30.290000915527344,50.2599983215332,65.92933906373301,48254000.82603008,1613839951.9699843
XLV,Health Care Select Sector SPDR,1529,2020-01-02,2026-02-02,102.12999725341797,155.4499969482422,52.20797133923332,10024514.85088293,1292732432.8706532
XLI,Industrial Select Sector SPDR,1529,2020-01-02,2026-02-02,83.01000213623047,166.77499389648438,100.90951644933632,11123733.811641596,1169555129.05268
XLU,Utilities Select Sector SPDR,1529,2020-01-02,2026-02-02,31.905000686645508,42.73500061035156,33.94452183240093,27672870.482014388,945414335.7434444
XLP,Consumer Staples Select Sector SPDR,1529,2020-01-02,2026-02-02,62.47999954223633,84.11160278320312,34.62164436532027,12667649.703727927,923375879.5830595
XLY,Consumer Discretionary Select Sector SPDR,1529,2020-01-02,2026-02-02,63.45500183105469,122.12999725341797,92.46709278896894,10304244.609548725,892125238.9073668
XLB,Materials Select Sector SPDR,1529,2020-01-02,2026-02-02,30.350000381469727,49.505001068115234,63.11367527474776,12866164.325703073,507132213.6696782
XLRE,Real Estate Select Sector SPDR,1529,2020-01-02,2026-02-02,38.220001220703125,41.08980178833008,7.508635468259572,6171745.822759974,246847573.64617613
TLT,iShares 20+ Year Treasury Bond ETF,1529,2020-01-02,2026-02-02,137.00999450683594,86.73500061035156,-36.69439888487549,26077616.748201437,2755951032.0113106
IEF,iShares 7-10 Year Treasury Bond ETF,1529,2020-01-02,2026-02-02,110.7300033569336,95.51499938964844,-13.740633528421576,7696293.474166121,790980743.3254335
LQD,iShares iBoxx Investment Grade Corporate Bond ETF,1529,2020-01-02,2026-02-02,128.22999572753906,110.21499633789062,-14.04897449105933,20901968.90712884,2392336906.176504
HYG,iShares iBoxx High Yield Corporate Bond ETF,1529,2020-01-02,2026-02-02,88.30999755859375,80.75499725341797,-8.555090605866035,35179151.22367561,2792982442.21084
AGG,iShares Core U.S. Aggregate Bond ETF,1529,2020-01-02,2026-02-02,112.68000030517578,99.73500061035156,-11.488285108062435,7623084.442119032,791063740.5285352
GLD,SPDR Gold Shares,1529,2020-01-02,2026-02-02,143.9499969482422,426.68499755859375,196.41195318122175,9396032.831916286,2065665699.769341
SLV,iShares Silver Trust,1529,2020-01-02,2026-02-02,16.809999465942383,69.75,314.9316015227473,27548607.457161542,841895856.340283
USO,United States Oil Fund,1529,2020-01-02,2026-02-02,102.4800033569336,74.88999938964844,-26.922329296955937,5521042.831916285,317963725.3452554
EEM,iShares MSCI Emerging Markets ETF,1529,2020-01-02,2026-02-02,45.779998779296875,59.309898376464844,29.554172035685177,37897799.76324395,1679443455.1499295
EFA,iShares MSCI EAFE ETF,1529,2020-01-02,2026-02-02,70.13999938964844,101.23989868164062,44.33974844970137,20814067.870503597,1506772630.0832233
VWO,Vanguard FTSE Emerging Markets ETF,1529,2020-01-02,2026-02-02,45.529998779296875,56.755001068115234,24.65407992482207,11815532.408763899,523808417.0840655
FXI,iShares China Large-Cap ETF,1529,2020-01-02,2026-02-02,44.880001068115234,39.19499969482422,-12.667115057913614,34237594.006540224,1137641274.9600854
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,1529,2020-01-02,2026-02-02,928.6400146484375,26.110000610351562,-97.18836145347062,2966205.8691955525,522097958.38936275
