Date,CPIAUCSL,CPILFESL,PCEPI
2020-01-01,259.127,266.716,104.49
2020-02-01,259.25,267.37,104.573
2020-03-01,258.076,267.054,104.271
2020-04-01,256.032,265.746,103.838
2020-05-01,255.802,265.412,103.942
2020-06-01,257.042,265.849,104.27
2020-07-01,258.352,267.389,104.578
2020-08-01,259.316,268.422,104.87
2020-09-01,259.997,268.933,105.057
2020-10-01,260.319,269.306,105.151
2020-11-01,260.911,269.981,105.258
2020-12-01,262.045,270.341,105.699
2021-01-01,262.639,270.416,106.147
2021-02-01,263.573,270.776,106.5
2021-03-01,264.847,271.453,107.054
2021-04-01,266.625,273.626,107.618
2021-05-01,268.404,275.457,108.175
2021-06-01,270.71,277.608,108.76
2021-07-01,271.965,278.639,109.256
2021-08-01,272.752,279.021,109.674
2021-09-01,273.942,279.727,110.034
2021-10-01,276.528,281.649,110.762
2021-11-01,278.824,283.411,111.5
2021-12-01,280.806,285.221,112.191
2022-01-01,282.542,286.799,112.805
2022-02-01,284.525,288.256,113.471
2022-03-01,287.467,289.044,114.469
2022-04-01,288.582,290.474,114.812
2022-05-01,291.299,292.039,115.525
2022-06-01,295.072,294.009,116.638
2022-07-01,294.94,295.08,116.631
2022-08-01,295.162,296.582,116.956
2022-09-01,296.421,298.281,117.371
2022-10-01,297.979,299.381,117.919
2022-11-01,298.708,300.316,118.224
2022-12-01,298.808,301.433,118.384
2023-01-01,300.456,302.685,119.018
2023-02-01,301.476,304.097,119.369
2023-03-01,301.643,305.123,119.538
2023-04-01,302.858,306.49,119.951
2023-05-01,303.316,307.623,120.15
2023-06-01,304.099,308.291,120.469
2023-07-01,304.615,308.959,120.607
2023-08-01,306.138,309.646,120.97
2023-09-01,307.374,310.616,121.419
2023-10-01,307.653,311.433,121.484
2023-11-01,308.087,312.373,121.493
2023-12-01,308.735,313.23,121.66
2024-01-01,309.794,314.389,122.23
2024-02-01,311.022,315.555,122.598
2024-03-01,312.107,316.762,123.038
2024-04-01,313.016,317.596,123.341
2024-05-01,313.14,318.053,123.348
2024-06-01,313.131,318.343,123.539
2024-07-01,313.566,318.933,123.736
2024-08-01,314.131,319.839,123.889
2024-09-01,314.851,320.835,124.164
2024-10-01,315.564,321.688,124.494
2024-11-01,316.449,322.619,124.637
2024-12-01,317.603,323.296,124.979
2025-01-01,319.086,324.739,125.417
2025-02-01,319.775,325.475,125.921
2025-03-01,319.615,325.659,125.941
2025-04-01,320.321,326.43,126.15
2025-05-01,320.58,326.854,126.38
2025-06-01,321.5,327.6,126.743
2025-07-01,322.132,328.656,126.96
2025-08-01,323.364,329.793,127.293
2025-09-01,324.368,330.542,127.625
2025-10-01,,,127.828
2025-11-01,325.031,331.068,128.093
2025-12-01,326.03,331.86,
